x,y
15646.0,9029.0
15643.0,9029.0
15643.0,9030.0
15640.0,9030.0
15640.0,9031.0
15639.0,9031.0
15639.0,9032.0
15638.0,9032.0
15638.0,9034.0
15637.0,9034.0
15637.0,9035.0
15635.0,9035.0
15635.0,9036.0
15633.0,9036.0
15633.0,9037.0
15629.0,9037.0
15629.0,9038.0
15628.0,9038.0
15628.0,9039.0
15626.0,9039.0
15626.0,9037.0
15625.0,9037.0
15625.0,9036.0
15624.0,9036.0
15624.0,9035.0
15623.0,9035.0
15623.0,9033.0
15625.0,9033.0
15625.0,9032.0
15627.0,9032.0
15627.0,9031.0
15626.0,9031.0
15626.0,9030.0
15625.0,9030.0
15625.0,9031.0
15621.0,9031.0
15621.0,9032.0
15620.0,9032.0
15620.0,9033.0
15621.0,9033.0
15621.0,9035.0
15620.0,9035.0
15620.0,9036.0
15619.0,9036.0
15619.0,9040.0
15620.0,9040.0
15620.0,9041.0
15622.0,9041.0
15622.0,9042.0
15626.0,9042.0
15626.0,9043.0
15631.0,9043.0
15631.0,9042.0
15632.0,9042.0
15632.0,9041.0
15633.0,9041.0
15633.0,9040.0
15634.0,9040.0
15634.0,9041.0
15635.0,9041.0
15635.0,9042.0
15636.0,9042.0
15636.0,9045.0
15634.0,9045.0
15634.0,9046.0
15632.0,9046.0
15632.0,9047.0
15633.0,9047.0
15633.0,9049.0
15634.0,9049.0
15634.0,9048.0
15638.0,9048.0
15638.0,9049.0
15639.0,9049.0
15639.0,9050.0
15638.0,9050.0
15638.0,9052.0
15636.0,9052.0
15636.0,9053.0
15633.0,9053.0
15633.0,9050.0
15629.0,9050.0
15629.0,9049.0
15624.0,9049.0
15624.0,9048.0
15621.0,9048.0
15621.0,9049.0
15620.0,9049.0
15620.0,9050.0
15619.0,9050.0
15619.0,9051.0
15617.0,9051.0
15617.0,9052.0
15609.0,9052.0
15609.0,9053.0
15607.0,9053.0
15607.0,9054.0
15604.0,9054.0
15604.0,9055.0
15602.0,9055.0
15602.0,9056.0
15601.0,9056.0
15601.0,9057.0
15599.0,9057.0
15599.0,9058.0
15593.0,9058.0
15593.0,9059.0
15589.0,9059.0
15589.0,9060.0
15587.0,9060.0
15587.0,9061.0
15585.0,9061.0
15585.0,9062.0
15583.0,9062.0
15583.0,9063.0
15582.0,9063.0
15582.0,9064.0
15580.0,9064.0
15580.0,9065.0
15578.0,9065.0
15578.0,9066.0
15574.0,9066.0
15574.0,9067.0
15566.0,9067.0
15566.0,9068.0
15562.0,9068.0
15562.0,9067.0
15561.0,9067.0
